MASTER_SAMPLE_CD,SPECIES_CD,NUMBER_OF_INDIVIDUALS,AVERAGE_LENGTH,MIN_LENGTH,MAX_LENGTH,TIME_SEEN
A2021061513520066,HAE FLAV,1,18,,,1
A2021061513520066,HAL GARN,3,4,3,6,1
A2021061513520066,SPA AURO,1,22,,,3
A2021061511050458,CHA CAPI,4,8,8,8,1
A2021061511050458,HAL GARN,2,,12,12,1
A2021061511050458,HAL GARN,6,6,2,7,1
A2021061511050458,SPA AURO,1,10,,,1
A2021061513010458,HAL GARN,7,5,3,7,1
A2021061513010458,BAL VETU,1,32,,,2
A2021061515380458,LUT GRIS,5,30,28,35,1
A2021061515380458,SPA AURO,1,28,,,1
A2021061515380458,ABU SAXA,5,12,10,14,1
A2021061515380458,HAE FLAV,1,21,,,1
A2021061515380458,CHA CAPI,2,,8,8,1
A2021061412050372,BAL VETU,2,,28,34,1
A2021061412050372,EPI GUTT,1,30,,,2
A2021061412050372,SPA AURO,1,4,,,2
A2021061609230175,CHA CAPI,2,,9,10,1
A2021061609230175,SPA AURO,8,13,10,17,1
A2021061609230175,SPA AURO,15,5,3,7,1
A2021061609230175,HAL RADI,1,25,,,1
A2021061609230175,BAL VETU,2,,26,34,1
A2021061609230175,HAE FLAV,3,14,13,15,1
A2021061612090175,ABU SAXA,17,10,9,11,1
A2021061612090175,HAL GARN,3,11,10,12,1
A2021061612090175,HAL GARN,6,5,3,7,1
A2021061612090175,HYP PUEL,1,9,,,1
A2021061612090175,HAE FLAV,3,14,14,14,1
A2021061612090175,SPA AURO,1,20,,,1
A2021061612090175,SPA AURO,3,5,5,6,1
A2021061612090175,CHA CAPI,1,10,,,2
A2021061614580163,CHA CAPI,4,10,10,11,1
A2021061614580163,SPA AURO,1,15,,,1
A2021061614580163,HAL GARN,2,,3,3,1
A2021061614020175,SPA AURO,10,4,3,5,1
A2021061613010163,HAE FLAV,1,17,,,1
A2021061613010163,HAL GARN,12,3,3,4,1
A2021061613010163,HAL RADI,1,13,,,1
A2021061613010163,SPA AURO,3,15,15,16,1
A2021061613010163,BAL VETU,1,25,,,1
A2021061609410163,BAL VETU,1,27,,,1
A2021061609410163,SPA AURO,6,4,4,5,1
A2021061609410163,SPA AURO,1,12,,,1
A2021061609410163,HAL GARN,5,3,3,3,1
A2021061609410163,HAL GARN,2,,9,10,1
A2021061609410163,EPI GUTT,2,,7,28,3
A2021061611160163,BAL VETU,3,28,27,33,1
A2021061611160163,SPA AURO,6,3,3,3,1
A2021061611160163,SPA AURO,5,15,14,18,1
A2021061611160163,HAL GARN,1,10,,,1
A2021061611380367,HAL GARN,6,5,3,9,1
A2021061611380367,SPA AURO,4,7,5,13,1
A2021061611380367,HAE FLAV,1,13,,,2
A2021061611380367,BAL VETU,1,25,,,2
A2021061611380367,EPI GUTT,1,28,,,3
A2021061611380367,ANI VIRG,1,25,,,3
A2021061610220367,HAL GARN,10,5,3,8,1
A2021061610220367,SPA AURO,3,7,4,8,1
A2021061610220367,HAE FLAV,1,18,,,1
A2021061610220367,CHA CAPI,2,,7,8,2
A2021061612430367,SPA AURO,4,12,11,26,1
A2021061612430367,BAL VETU,2,,20,25,1
A2021061513020440,HAL GARN,6,10,4,16,1
A2021061513020440,SPA AURO,1,5,,,2
A2021061513020440,BAL VETU,1,30,,,2
A2021061609400469,BAL VETU,3,15,12,20,1
A2021061609400469,SPA AURO,11,12,10,16,1
A2021061609400469,EPI GUTT,1,12,,,1
A2021061812430388,HAE FLAV,4,17,15,19,1
A2021061812430388,HAL GARN,5,10,8,12,1
A2021061812430388,HAL GARN,3,6,4,7,1
A2021061812430388,SPA AURO,3,18,17,20,1
A2021061812430388,SPA AURO,4,5,3,6,1
A2021061812430388,SPA AURO,1,15,,,1
A2021061812430388,CHA CAPI,3,9,8,10,3
A2021061814290388,SPA AURO,1,9,,,1
A2021061814290388,SPA AURO,1,11,,,1
A2021061814290388,SPA AURO,21,6,5,7,1
A2021061814290388,HAL RADI,2,,17,18,1
A2021061814290388,CHA CAPI,2,,10,11,2
A2021061810500388,HAE FLAV,1,17,,,1
A2021061810500388,EPI GUTT,1,21,,,1
A2021061810500388,SPA AURO,6,18,15,23,1
A2021061810500388,HAL RADI,1,18,,,1
A2021061810500388,HAL GARN,12,5,4,6,1
A2021061810500388,HAL GARN,6,9,7,11,1
A2021061810500388,BAL VETU,1,20,,,1
A2021061810500388,BAL VETU,1,24,,,1
A2021061810500388,BAL VETU,1,25,,,1
A2021061810500388,CHA CAPI,2,,8,9,2
A2021061809130388,HAL GARN,7,5,3,6,1
A2021061809130388,SPA AURO,5,22,18,24,1
A2021061809130388,SPA AURO,4,4,3,5,1
A2021061712570440,SPA AURO,4,14,5,16,1
A2021061712570440,HAL GARN,5,9,8,15,1
A2021061712570440,BAL VETU,2,,25,25,1
A2021061712570440,HAL RADI,1,15,,,1
A2021061713370440,HAL RADI,2,,7,8,1
A2021061713370440,SPA AURO,5,10,5,25,1
A2021061713370440,HAL GARN,4,6,4,7,1
A2021061713370440,HAE FLAV,1,16,,,2
A2021061713370440,BAL VETU,1,20,,,3
A2021061811060363,HAL GARN,20,5,3,11,1
A2021061811060363,HAE FLAV,3,15,13,16,1
A2021061811060363,ABU SAXA,3,12,11,12,1
A2021061811060363,EPI GUTT,1,32,,,3
A2021061811060363,CHA CAPI,2,,7,7,3
A2021061811060363,SPA AURO,3,5,3,5,1
A2021061811060363,SPA AURO,1,22,,,1
A2021061809330363,HAL GARN,10,5,4,8,1
A2021061809330363,BAL VETU,11,27,23,32,1
A2021061809330363,SPA AURO,1,18,,,1
A2021061711030440,SPA AURO,5,16,2,20,1
A2021061711030440,BAL VETU,3,30,18,30,1
A2021061711030440,HAL GARN,1,3,,,1
A2021061711030440,EPI GUTT,1,27,,,1
A2021061711030440,CHA CAPI,2,,13,13,1
A2021062210030175,HAL GARN,6,10,8,13,1
A2021062210030175,HAL GARN,5,5,3,7,1
A2021062210030175,SPA AURO,7,16,13,19,1
A2021062210030175,SPA AURO,5,7,4,10,1
A2021062210030175,HAE FLAV,6,15,13,17,1
A2021062210030175,CHA CAPI,3,11,10,11,1
A2021062211030432,SPA AURO,3,16,15,19,1
A2021062211030432,HAE FLAV,38,17,16,19,1
A2021062211030432,HAL GARN,2,,11,12,2
A2021062211030432,BAL VETU,1,31,,,2
A2021062211030432,EPI GUTT,1,28,,,3
A2021062211080163,HAL GARN,4,4,4,4,1
A2021062211080163,HAL GARN,1,13,,,1
A2021062211080163,EPI GUTT,1,12,,,2
A2021062211080163,SPA AURO,1,16,,,2
A2021062213030163,SPA AURO,7,13,12,16,1
A2021062213030163,SPA AURO,3,21,18,22,1
A2021062213030163,EPI GUTT,1,21,,,1
A2021062213030163,BAL VETU,2,,26,30,1
A2021062213030163,HAL GARN,7,3,3,3,1
A2021062213030163,HAL GARN,1,10,,,1
A2021062213030163,CHA CAPI,2,,8,9,1
A2021062212570432,CHA CAPI,2,,9,10,1
A2021062212570432,SPA AURO,2,,15,17,1
A2021062212570432,HAL GARN,4,4,3,8,2
A2021062214160163,HAL GARN,5,11,10,13,1
A2021062214160163,HAL RADI,1,9,,,1
A2021062214160163,HAE FLAV,1,18,,,1
A2021062214160163,SPA AURO,4,4,4,5,1
A2021062214160163,SPA AURO,3,14,12,15,1
A2021062211580175,HAE FLAV,4,14,12,16,1
